AtomicMass,PartialPressure
49.4,1.58e-08
49.5,1.36e-08
49.6,1.84e-08
49.7,3.64e-08
49.8,5.89e-08
49.9,8.24e-08
50,1.06e-07
50.1,1.18e-07
50.2,1.27e-07
50.3,1.2e-07
50.4,1.08e-07
50.5,7.16e-08
50.6,5.56e-08
50.7,9.04e-08
50.8,1.43e-07
50.9,1.98e-07
51,2.6e-07
51.1,2.96e-07
51.2,3.19e-07
51.3,2.79e-07
51.4,2.38e-07
51.5,1.25e-07
51.6,6.09e-08
51.7,4e-08
51.8,3.47e-08
51.9,3.46e-08
52,3.97e-08
52.1,4.44e-08
52.2,4.9e-08
52.3,4.93e-08
52.4,4.64e-08
52.5,3.37e-08
52.6,2.18e-08
52.7,2e-08
52.8,2.45e-08
52.9,2.96e-08
53,3.8e-08
53.1,4.59e-08
53.2,5.24e-08
53.3,5.24e-08
53.4,4.89e-08
53.5,3.65e-08
53.6,2.21e-08
53.7,1.71e-08
53.8,1.95e-08
53.9,2.34e-08
54,2.71e-08
54.1,3.3e-08
54.2,3.78e-08
54.3,3.83e-08
54.4,3.68e-08
54.5,3e-08
54.6,2.37e-08
54.7,3.17e-08
54.8,5.71e-08
54.9,8.19e-08
55,1.08e-07
55.1,1.37e-07
55.2,1.54e-07
55.3,1.59e-07
55.4,1.43e-07
55.5,1.09e-07
55.6,5.98e-08
55.7,4.35e-08
55.8,5.13e-08
55.9,6.29e-08
56,7.87e-08
56.1,9.6e-08
56.2,1.09e-07
56.3,1.16e-07
56.4,1.07e-07
56.5,8.49e-08
56.6,4.96e-08
56.7,3.49e-08
56.8,3.73e-08
56.9,4.41e-08
57,5.43e-08
57.1,6.62e-08
57.2,7.52e-08
57.3,7.92e-08
57.4,7.32e-08
57.5,6.14e-08
57.6,4e-08
57.7,3.02e-08
57.8,3.6e-08
57.9,4.52e-08
58,5.43e-08
58.1,6.68e-08
58.2,7.86e-08
58.3,8.42e-08
58.4,7.84e-08
58.5,6.29e-08
58.6,3.81e-08
58.7,2.49e-08
58.8,2.24e-08
58.9,2.4e-08
59,2.77e-08
59.1,3.19e-08
59.2,3.68e-08
59.3,3.92e-08
59.4,3.73e-08
59.5,3.15e-08
59.6,2.26e-08
59.7,2.56e-08
59.8,3.87e-08
59.9,5.29e-08
60,6.74e-08
60.1,8.33e-08
60.2,9.56e-08
60.3,9.97e-08
60.4,8.76e-08
60.5,6.85e-08
60.6,3.78e-08
60.7,2.17e-08
60.8,1.44e-08
60.9,1.15e-08
61,9.97e-09
61.1,1.02e-08
61.2,1.01e-08
61.3,1.08e-08
61.4,1e-08
61.5,9.14e-09
61.6,6.3e-09
61.7,5.8e-09
61.8,6.73e-09
61.9,8.8e-09
62,1.08e-08
62.1,1.28e-08
62.2,1.35e-08
62.3,1.37e-08
62.4,1.28e-08
62.5,1.08e-08
62.6,7.64e-09
62.7,6.94e-09
62.8,9.03e-09
62.9,1.15e-08
63,1.42e-08
63.1,1.82e-08
63.2,2.04e-08
63.3,2.23e-08
63.4,2.24e-08
63.5,2.09e-08
63.6,1.84e-08
63.7,3.13e-08
63.8,5.08e-08
63.9,6.77e-08
64,8.8e-08
64.1,1.06e-07
64.2,1.22e-07
64.3,1.17e-07
64.4,1.02e-07
64.5,6.87e-08
64.6,3.89e-08
64.7,2.3e-08
64.8,1.9e-08
64.9,1.96e-08
65,2.25e-08
